Date,Price
1/1/2014,29542
1/2/2014,29975
1/3/2014,29727
1/4/2014,29279
1/6/2014,29119
1/7/2014,28959
1/8/2014,28934
1/9/2014,28997
1/10/2014,29169
1/13/2014,29312
1/14/2014,29198
1/15/2014,29150
1/16/2014,29168
1/17/2014,29385
1/20/2014,29414
1/21/2014,29362
1/22/2014,29269
1/23/2014,29394
1/24/2014,29574
1/27/2014,29905
1/28/2014,29628
1/29/2014,29835
1/30/2014,29499
1/31/2014,29482
2/3/2014,29789
2/4/2014,29534
2/5/2014,29719
2/6/2014,29231
2/7/2014,29310
2/10/2014,29471
2/11/2014,29670
2/12/2014,29698
2/13/2014,29726
2/14/2014,29932
2/17/2014,30664
2/18/2014,30766
2/19/2014,30712
2/20/2014,30608
2/21/2014,30677
2/24/2014,30927
2/25/2014,30972
2/26/2014,30810
2/27/2014,30839
2/28/2014,30634
3/3/2014,32051
3/4/2014,31126
3/5/2014,32351
3/6/2014,30416
3/7/2014,30307
3/10/2014,30327
3/11/2014,30421
3/12/2014,30627
3/13/2014,30697
3/14/2014,30719
3/17/2014,30557
3/18/2014,30389
3/19/2014,30169
3/20/2014,29924
3/21/2014,29850
3/24/2014,29182
3/25/2014,28971
3/26/2014,28595
3/27/2014,28521
3/28/2014,28434
3/31/2014,28470
4/1/2014,28116
4/2/2014,28404
4/3/2014,28460
4/4/2014,28519
4/5/2014,28549
4/7/2014,28574
4/8/2014,28754
4/9/2014,28710
4/10/2014,29094
4/11/2014,29085
4/14/2014,29350
4/15/2014,29342
4/16/2014,29290
4/17/2014,29293
4/19/2014,29339
4/21/2014,29548
4/22/2014,29423
4/23/2014,29752
4/25/2014,29741
4/27/2014,29695
4/28/2014,29824
4/29/2014,29713
4/30/2014,31014
5/1/2014,30380
5/2/2014,30182
5/5/2014,29967
5/6/2014,29109
5/7/2014,28747
5/8/2014,28734
5/9/2014,28741
5/12/2014,28860
5/13/2014,28673
5/14/2014,28911
5/15/2014,28624
5/16/2014,28322
5/19/2014,28336
5/20/2014,28424
5/21/2014,27501
5/22/2014,27386
5/23/2014,27528
5/26/2014,27586
5/27/2014,27087
5/28/2014,26987
5/29/2014,26984
5/30/2014,27151
6/2/2014,26626
6/3/2014,26732
6/4/2014,26708
6/5/2014,26771
6/6/2014,26400
6/9/2014,26545
6/10/2014,26712
6/11/2014,26736
6/12/2014,27014
6/13/2014,27235
6/16/2014,27395
6/17/2014,27418
6/18/2014,27353
6/19/2014,28160
6/20/2014,28154
6/23/2014,28111
6/24/2014,28167
6/25/2014,28221
6/26/2014,28126
6/27/2014,28063
6/30/2014,28076
7/1/2014,27975
7/2/2014,27788
7/3/2014,27802
7/4/2014,27913
7/7/2014,27564
7/8/2014,27594
7/9/2014,27667
7/10/2014,28565
7/11/2014,28441
7/12/2014,28413
7/13/2014,28413
7/14/2014,27860
7/15/2014,27752
7/16/2014,27767
7/17/2014,28237
7/18/2014,28028
7/20/2014,28030
7/21/2014,28120
7/22/2014,27939
7/23/2014,27915
7/24/2014,27651
7/25/2014,27973
7/27/2014,27960
7/28/2014,27909
7/29/2014,27855
7/30/2014,27936
7/31/2014,27788
8/1/2014,28037
8/4/2014,27952
8/5/2014,28392
8/6/2014,28559
8/7/2014,28695
8/8/2014,28515
8/10/2014,28510
8/11/2014,28554
8/12/2014,28641
8/13/2014,28567
8/14/2014,28489
8/18/2014,28167
8/19/2014,28124
8/20/2014,28079
8/21/2014,27599
8/22/2014,27634
8/25/2014,27632
8/26/2014,27720
8/27/2014,27599
8/28/2014,27884
8/29/2014,27794
9/1/2014,27679
9/2/2014,27340
9/3/2014,27355
9/4/2014,27282
9/5/2014,27225
9/8/2014,27207
9/9/2014,27272
9/10/2014,27194
9/11/2014,26996
9/12/2014,26909
9/13/2014,26900
9/15/2014,27006
9/16/2014,26954
9/17/2014,26907
9/18/2014,26659
9/19/2014,26497
9/22/2014,26605
9/23/2014,26682
9/24/2014,26552
9/25/2014,26919
9/26/2014,26694
9/27/2014,26693
9/29/2014,26819
9/30/2014,26805
10/1/2014,26790
10/3/2014,26439
10/5/2014,26424
10/6/2014,26637
10/7/2014,26673
10/8/2014,26633
10/9/2014,26847
10/10/2014,26855
10/13/2014,26855
10/14/2014,27128
10/16/2014,27328
10/17/2014,27151
10/20/2014,27302
10/21/2014,27394
10/22/2014,27333
10/23/2014,26940
10/24/2014,26963
10/27/2014,27008
10/28/2014,26909
10/29/2014,26864
10/30/2014,26376
10/31/2014,25924
11/3/2014,25868
11/4/2014,25810
11/5/2014,25348
11/6/2014,25467
11/7/2014,25926
11/10/2014,25719
11/11/2014,25793
11/12/2014,25794
11/13/2014,25827
11/14/2014,26458
11/16/2014,26411
11/17/2014,26319
11/18/2014,26587
11/19/2014,26710
11/20/2014,26459
11/21/2014,26390
11/24/2014,26473
11/25/2014,26338
11/26/2014,26397
11/27/2014,26237
11/28/2014,25853
12/1/2014,26546
12/2/2014,26224
12/3/2014,26496
12/4/2014,26488
12/5/2014,26279
12/8/2014,26228
12/9/2014,27023
12/10/2014,27054
12/11/2014,27142
12/12/2014,27088
12/15/2014,27173
12/16/2014,27044
12/17/2014,26802
12/18/2014,26659
12/19/2014,26859
12/22/2014,26458
12/23/2014,26468
12/24/2014,26433
12/26/2014,26894
12/29/2014,26598
12/30/2014,26908
12/31/2014,26594
1/1/2015,26586
1/2/2015,26700
1/5/2015,26847
1/6/2015,27385
1/7/2015,27159
1/8/2015,26808
1/9/2015,26806
1/12/2015,27032
1/13/2015,27071
1/14/2015,27210
1/15/2015,27493
1/16/2015,27673
1/17/2015,27627
1/19/2015,27718
1/20/2015,28098
1/21/2015,27992
1/22/2015,28055
1/23/2015,27884
1/25/2015,27887
1/27/2015,27934
1/28/2015,27795
1/29/2015,27470
1/30/2015,27911
2/2/2015,28071
2/3/2015,27687
2/4/2015,27814
2/5/2015,27683
2/6/2015,26968
2/9/2015,27119
2/10/2015,27016
2/11/2015,26817
2/12/2015,26635
2/13/2015,26694
2/16/2015,26742
2/17/2015,26241
2/18/2015,26181
2/19/2015,26294
2/20/2015,26317
2/21/2015,26319
2/23/2015,26178
2/24/2015,26077
2/25/2015,26142
2/26/2015,26239
2/27/2015,26206
2/28/2015,26480
3/2/2015,26541
3/3/2015,26453
3/4/2015,26539
3/5/2015,26473
3/6/2015,26058
3/9/2015,26062
